Product_Name,Department_Name,Price,Stock_Quantity
Echo Look,Echo And Alexa,200.00,100
Echo Show - Black,Echo And Alexa,280.99,80
Sony XBR65X900F 65-Inch 4K Ultra HD Smart LED TV -65-Inch,Electronics Computers And Office,2198.00,30
Samsung QN65Q7F FLAT 65” QLED 4K UHD 7 Series Smart TV ,Electronics Computers And Office,2599.99,20
LG OLED65C8PUA 65-Inch 4K Ultra HD Smart OLED TV,Electronics Computers And Office,3899.99,15
ROG Zephyrus GX501 (8th-Gen) 15.6” Ultra Slim Gaming Laptop,Electronics Computers And Office,2950.15,10
"ASUS VivoBook Pro Thin & Light Laptop, 17"" Full HD",Electronics Computers And Office,1099.99,50
Samsung S34E790C - 34-Inch Curved WQHD Cinema Wide,Electronics Computers And Office,1456.22,10
Swarovski Crystal Tropical Palms License Plate Frame,Jewelry,198.00,20
Copper Weave Bracelet,Jewelry,201.00,30
Garmin DriveSmart 61 NA LMT-S with Lifetime Maps,Car and Vehicle Electronics,256.00,6
Well Worn Path Custom Gemstone Earrings,Jewelry,148.00,58
Alex Evenings Women's Long A-Line Rosette Dress,Clothing and Shoes,230.00,10
ohyeah Women Solid Formal Lace Maxi Dress Long Sleeve,Clothing and Shoes,271.00,9
Annabelle Women's Comfy 3/4 Sleeve V-Neck Wide Legs Palazzo,Clothing and Shoes,123.00,8
NIKE Women's Air Vapormax Flyknit Running Shoes,Clothing and Shoes,90.00,11
Nike Womens Metcon 3 Training Shoes,Clothing and Shoes,112.00,8
Michael Kors MICHAEL Michael Kors Hailee MD,Handbags and Wallets,410.00,10
Kattee Women's Vintage Genuine Leather Tote Shoulder Bag,Handbags and Wallets,96.00,5
Garmin dēzl 770LMTHD 7-Inch GPS Navigator,Car and Vehicle Electronics,379.99,4
